code,name,name_short,name_tv,gender,function,country_code,country_full,nationality_full,nationality_code,height,weight,Disciplines_1,birth_date,Age
1563844,KUHNLE Corinna,KUHNLE C,Corinna KUHNLE,Female,Athlete,AUT,Austria,Austria,AUT,0,0,Canoe Slalom,04-07-1987,37
1563846,OSCHMAUTZ Felix,OSCHMAUTZ F,Felix OSCHMAUTZ,Male,Athlete,AUT,Austria,Austria,AUT,0,0,Canoe Slalom,18-07-1999,25
1563847,WOLFFHARDT Viktoria,WOLFFHARDT V,Viktoria WOLFFHARDT,Female,Athlete,AUT,Austria,Austria,AUT,0,0,Canoe Slalom,26-06-1994,30
1563899,BRANDL Lorena,BRANDL L,Lorena BRANDL,Female,Athlete,GER,Germany,Germany,GER,0,0,Taekwondo,15-05-1997,27
1563910,LENNOX Hugo,LENNOX H,Hugo LENNOX,Male,Athlete,IRL,Ireland,Ireland,IRL,177,73,Rugby Sevens,06-03-1999,25
1563912,LYLE Abigail,LYLE A,Abigail LYLE,Female,Athlete,IRL,Ireland,Ireland,IRL,0,0,Equestrian,22-04-1985,39
1563914,O'CONNOR Austin,O'CONNOR A,Austin O'CONNOR,Male,Athlete,IRL,Ireland,Ireland,IRL,0,0,Equestrian,10-12-1974,49
1563916,O'CONNOR Cian,O'CONNOR C,Cian O'CONNOR,Male,Athlete,IRL,Ireland,Ireland,IRL,0,0,Equestrian,12-11-1979,44
1563918,COYLE Daniel,COYLE D,Daniel COYLE,Male,Athlete,IRL,Ireland,Ireland,IRL,0,0,Equestrian,02-12-1994,29
1563928,McKIBBIN Peter,McKIBBIN P,Peter McKIBBIN,Male,Athlete,IRL,Ireland,Ireland,IRL,0,0,Hockey,19-03-1997,27
1563929,MARSHALL Kyle,MARSHALL K,Kyle MARSHALL,Male,Athlete,IRL,Ireland,Ireland,IRL,0,0,Hockey,10-07-1998,26
1563930,O'DONOGHUE Shane,O'DONOGHUE S,Shane O'DONOGHUE,Male,Athlete,IRL,Ireland,Ireland,IRL,0,0,Hockey,24-11-1992,31
1563931,LYNCH Jonathan,LYNCH J,Jonathan LYNCH,Male,Athlete,IRL,Ireland,Ireland,IRL,0,0,Hockey,05-04-2001,23
1563932,MURRAY Sean,MURRAY S,Sean MURRAY,Male,Athlete,IRL,Ireland,Ireland,IRL,0,0,Hockey,05-05-1997,27
1563933,BROWN Peter,BROWN P,Peter BROWN,Male,Athlete,IRL,Ireland,Ireland,IRL,0,0,Hockey,07-07-1994,30
1563934,ROBSON Michael,ROBSON M,Michael ROBSON,Male,Athlete,IRL,Ireland,Ireland,IRL,0,0,Hockey,18-04-1995,29
1563937,WALSH Daragh,WALSH D,Daragh WALSH,Male,Athlete,IRL,Ireland,Ireland,IRL,0,0,Hockey,27-08-1997,27
1563938,WALKER Benjamin,WALKER B,Ben WALKER,Male,Athlete,IRL,Ireland,Ireland,IRL,0,0,Hockey,13-07-1999,25
1563939,DUNCAN Jeremy,DUNCAN J,Jeremy DUNCAN,Male,Athlete,IRL,Ireland,Ireland,IRL,0,0,Hockey,02-08-1994,30
1563940,McKEE John,McKEE J,Johnny McKEE,Male,Athlete,IRL,Ireland,Ireland,IRL,0,0,Hockey,22-12-1996,27
1563942,JOHNSON Ben,JOHNSON B,Ben JOHNSON,Male,Athlete,IRL,Ireland,Ireland,IRL,0,0,Hockey,01-08-2000,24
1563943,NELSON Matthew,NELSON M,Matthew NELSON,Male,Athlete,IRL,Ireland,Ireland,IRL,0,0,Hockey,14-04-1998,26
1564023,RISSVEDS Jenny,RISSVEDS J,Jenny RISSVEDS,Female,Athlete,SWE,Sweden,Sweden,SWE,0,0,Cycling Mountain Bike,06-06-1994,30
1564059,WRIGHT Matthew,WRIGHT M,Matthew WRIGHT,Male,Athlete,BAR,Barbados,Barbados,BAR,0,0,Triathlon,13-05-1992,32
1564189,CAMPBELL Rajindra,CAMPBELL R,Rajindra CAMPBELL,Male,Athlete,JAM,Jamaica,Jamaica,JAM,178,0,Athletics,29-02-1996,28
1564230,CAMARA Seco,CAMARA S,Seco CAMARA,Male,Athlete,GBS,Guinea-Bissau,Guinea-Bissau,GBS,175,0,Athletics,20-04-1995,29
1564244,GOMIS Paivou Johnouario,GOMIS PJ,Paivou Johnouario GOMIS,Male,Athlete,GBS,Guinea-Bissau,Guinea-Bissau,GBS,0,0,Taekwondo,30-08-1986,37
1564261,AHOURE-DEMPS Murielle,AHOURE-DEMPS M,Murielle AHOURE-DEMPS,Female,Athlete,CIV,Côte d'Ivoire,Côte d'Ivoire,CIV,171,0,Athletics,23-08-1987,37
1564282,SUAD NATIQ,SUAD NATIQ,SUAD NATIQ,Male,Athlete,IRQ,Iraq,Iraq,IRQ,188,0,Football,19-03-1994,30
1564284,AYMEN HUSSEIN,AYMEN HUSSEIN,AYMEN HUSSEIN,Male,Athlete,IRQ,Iraq,Iraq,IRQ,190,0,Football,22-03-1996,28
1564285,IBRAHIM BAYESH,IBRAHIM BAYESH,IBRAHIM BAYESH,Male,Athlete,IRQ,Iraq,Iraq,IRQ,180,0,Football,01-05-2000,24
1564334,SHAIG Aishath Ulya,SHAIG AU,Aishath Ulya SHAIG,Female,Athlete,MDV,Maldives,Maldives,MDV,0,0,Swimming,19-10-2002,21
1564340,KANIWETE Kenaz,KANIWETE K,Kenaz KANIWETE,Male,Athlete,KIR,Kiribati,Kiribati,KIR,0,0,Athletics,28-03-2008,16
1564349,HAMZA Malak,HAMZA M,Malak HAMZA,Female,Athlete,EGY,Egypt,Egypt,EGY,0,0,Trampoline Gymnastics,05-11-2001,22
1564356,ABDURAIMOV Aider,ABDURAIMOV A,Aider ABDURAIMOV,Male,Athlete,UKR,Ukraine,Ukraine,UKR,168,0,Boxing,18-01-2004,20
1564362,KHYZHNIAK Oleksandr,KHYZHNIAK O,Oleksandr KHYZHNIAK,Male,Athlete,UKR,Ukraine,Ukraine,UKR,181,0,Boxing,03-08-1995,29
1564367,LOVCHYNSKYI Dmytro,LOVCHYNSKYI D,Dmytro LOVCHYNSKYI,Male,Athlete,UKR,Ukraine,Ukraine,UKR,191,0,Boxing,05-02-1999,25
1564417,BATAHOV Arsenii,BATAHOV A,Arsenii BATAHOV,Male,Athlete,UKR,Ukraine,Ukraine,UKR,185,0,Football,05-03-2002,22
